id	terminals	jump	accept	stack	return	error
1	int void	2	0	0	0	1
2	int void	5	0	0	0	1
3	eps	4	0	0	0	1
4	eps	0	0	0	1	1
5	int void	12	0	1	0	1
6	main	7	1	0	0	1
7	(	8	1	0	0	1
8	)	9	1	0	0	1
9	{	10	1	0	0	1
10	int var if }	16	0	1	0	1
11	}	0	0	0	1	1
12	int	14	0	0	0	0
13	void	15	0	0	0	1
14	int	0	1	0	1	1
15	void	0	1	0	1	1
16	int	20	0	0	0	0
17	var	71	0	0	0	0
18	if	89	0	0	0	0
19	}	106	0	0	0	1
20	int	22	0	1	0	1
21	int var if }	16	0	0	0	1
22	int	23	1	0	0	1
23	var	25	0	1	0	1
24	;	0	1	0	1	1
25	var	26	1	0	0	1
26	= , ;	28	0	1	0	1
27	; ,	84	0	0	0	1
28	=	30	0	0	0	0
29	, ;	32	0	0	0	1
30	=	31	1	0	0	1
31	var const ( -	33	0	0	0	1
32	, ;	0	0	0	1	1
33	-	35	0	0	0	0
34	var const (	37	0	0	0	1
35	-	36	1	0	0	1
36	( var const	38	0	0	0	1
37	var const (	38	0	0	0	1
38	var const	40	0	0	0	0
39	(	46	0	0	0	1
40	var const	42	0	1	0	1
41	+ - * / == != < > , ; )	50	0	0	0	1
42	var	44	0	0	0	0
43	const	45	0	0	0	1
44	var	0	1	0	1	1
45	const	0	1	0	1	1
46	(	47	1	0	0	1
47	var const ( -	33	0	1	0	1
48	)	49	1	0	0	1
49	+ - * / == != < > ; , )	50	0	0	0	1
50	 ; , )	52	0	0	0	0
51	+ - * / == != < >	53	0	0	0	1
52	; , )	0	0	0	1	1
53	+ - * / == != < >	55	0	1	0	1
54	var const ( -	33	0	0	0	1
55	+	63	0	0	0	0
56	-	64	0	0	0	0
57	*	65	0	0	0	0
58	/	66	0	0	0	0
59	==	67	0	0	0	0
60	!=	68	0	0	0	0
61	>	69	0	0	0	0
62	<	70	0	0	0	1
63	+	0	1	0	1	1
64	-	0	1	0	1	1
65	*	0	1	0	1	1
66	/	0	1	0	1	1
67	==	0	1	0	1	1
68	!=	0	1	0	1	1
69	>	0	1	0	1	1
70	<	0	1	0	1	1
71	var	73	0	1	0	1
72	int var if }	16	0	0	0	1
73	var	75	0	1	0	1
74	;	0	1	0	1	1
75	var	76	1	0	0	1
76	=	77	1	0	0	1
77	const var ( -	33	0	1	0	1
78	, ;	79	0	0	0	1
79	,	82	0	0	0	0
80	;	81	0	0	0	1
81	;	0	0	0	1	1
82	,	83	1	0	0	1
83	var	75	0	0	0	1
84	,	87	0	0	0	0
85	;	86	0	0	0	1
86	;	0	0	0	1	1
87	,	88	1	0	0	1
88	var	25	0	0	0	1
89	if	91	0	1	0	1
90	int var if }	16	0	0	0	1
91	if	92	1	0	0	1
92	(	93	1	0	0	1
93	const var ( -	33	0	1	0	1
94	)	95	1	0	0	1
95	{	96	1	0	0	1
96	int var if }	16	0	1	0	1
97	}	98	1	0	0	1
98	else int var if }	99	0	0	0	1
99	else	101	0	0	0	0
100	int var if }	105	0	0	0	1
101	else	102	1	0	0	1
102	{	103	1	0	0	1
103	int var if }	16	0	1	0	1
104	}	0	1	0	1	1
105	int var if }	0	0	0	1	1
106	}	0	0	0	1	1
